sample,sensor_to_orchestrator_ms,orchestrator_to_valve_ms,irrigation_total_ms,robot_command_to_cmd_vel_ms
1,0.773428,1.803456,2.576884,
2,2.328753,8.743678,11.072431,
3,1.017319,4.929422,5.946741,
4,1.28403,1.942951,3.226981,
5,0.90845,2.094764,3.003214,
6,1.326475,1.672363,2.998838,
7,2.124513,9.646374,11.770887,
8,0.503352,1.625711,2.129063,
9,1.552968,1.625196,3.178164,
10,1.152595,1.911843,3.064438,
11,0.538714,1.210528,1.749242,
12,0.636531,1.623711,2.260242,
13,0.805101,3.162347,3.967448,
14,1.006195,3.784547,4.790742,
15,0.633981,1.103884,1.737865,
16,0.601166,1.425918,2.027084,
17,0.708467,1.758043,2.46651,
18,0.707871,1.331399,2.03927,
19,2.066213,7.393437,9.45965,
20,0.611781,2.50492,3.116701,
21,2.983886,6.203048,9.186934,
22,2.525331,6.51613,9.041461,
23,3.054151,10.884166,13.938317,
24,0.955737,2.988844,3.944581,
25,0.76722,1.147504,1.914724,
26,0.735802,2.348874,3.084676,
27,0.589397,1.820249,2.409646,
28,2.203844,6.254543,8.458387,
29,0.521216,1.044662,1.565878,
30,1.448022,3.575633,5.023655,
31,0.662637,2.271906,2.934543,
32,0.926911,1.426034,2.352945,
33,0.890792,1.849216,2.740008,
34,2.934297,6.55242,9.486717,
35,3.222695,7.223547,10.446242,
36,3.807953,7.008755,10.816708,
37,2.140084,5.106752,7.246836,
38,3.624202,7.413798,11.038,
39,0.545943,2.104504,2.650447,
40,0.817315,2.411912,3.229227,
41,2.815612,8.270625,11.086237,
42,1.531746,1.050043,2.581789,
43,1.768161,6.547672,8.315833,
44,0.816651,1.763045,2.579696,
45,0.754278,1.118146,1.872424,
46,0.612138,3.428982,4.04112,
47,0.500756,4.326483,4.827239,
48,2.906322,6.338835,9.245157,
49,3.174723,5.936334,9.111057,
50,0.726225,2.504712,3.230937,
51,0.724591,1.852117,2.576708,
52,0.543984,1.286271,1.830255,
53,0.722054,1.201515,1.923569,
54,0.671708,1.547994,2.219702,
55,2.229149,4.990498,7.219647,
56,3.397016,6.34487,9.741886,
57,0.740541,1.122892,1.863433,
58,0.685954,1.310754,1.996708,
59,3.378221,4.068515,7.446736,
60,2.056293,3.779191,5.835484,
61,1.055663,1.750896,2.806559,
62,1.268191,3.25425,4.522441,
63,1.805468,2.940271,4.745739,
64,2.268457,7.308534,9.576991,
65,1.120516,2.691466,3.811982,
66,0.742563,2.419007,3.16157,
67,2.812915,11.284909,14.097824,
68,0.906598,3.396176,4.302774,
69,0.79375,1.871583,2.665333,
70,0.944649,1.890369,2.835018,
71,0.59521,1.448115,2.043325,
72,0.969318,2.066609,3.035927,
73,2.39698,6.316923,8.713903,
74,0.852409,2.721961,3.57437,
75,1.589235,8.071706,9.660941,
76,0.764633,1.265467,2.0301,
77,0.996119,4.007942,5.004061,
78,0.691028,3.310557,4.001585,
79,2.027535,7.33703,9.364565,
80,3.64094,8.38245,12.02339,
81,2.919083,6.760753,9.679836,
82,1.421898,4.53621,5.958108,
83,2.819978,6.585807,9.405785,
84,2.844619,9.034561,11.87918,
85,2.614707,6.111081,8.725788,
86,1.573891,5.81708,7.390971,
87,2.610041,4.561364,7.171405,
88,6.700795,6.724532,13.425327,
89,3.366207,7.349073,10.71528,
90,2.28058,4.354184,6.634764,
91,0.492203,1.797779,2.289982,
92,2.851316,7.474738,10.326054,
93,1.416878,1.612426,3.029304,
94,0.78651,1.624659,2.411169,
95,2.443859,7.87368,10.317539,
96,2.624531,9.036268,11.660799,
97,3.196366,7.42079,10.617156,
98,0.716529,1.843476,2.560005,
99,1.362001,4.582432,5.944433,
100,5.545176,6.042352,11.587528,
101,3.62824,5.470755,9.098995,
102,1.770969,1.37949,3.150459,
103,2.947732,10.088444,13.036176,
104,2.359972,14.815906,17.175878,
105,0.908785,1.796923,2.705708,
106,2.512372,7.629445,10.141817,
107,2.883943,6.790002,9.673945,
108,2.928358,8.970075,11.898433,
109,2.947126,15.990164,18.93729,
110,1.735751,4.904418,6.640169,
111,3.058598,8.402737,11.461335,
112,0.650967,1.577338,2.228305,
113,2.083257,8.159796,10.243053,
114,0.966015,2.541677,3.507692,
115,0.752913,2.472169,3.225082,
116,2.82852,6.116262,8.944782,
117,0.644729,2.19603,2.840759,
118,2.212014,7.27844,9.490454,
119,5.613532,5.825089,11.438621,
120,0.793693,2.576228,3.369921,
121,0.563633,1.261966,1.825599,
