sample,sensor_to_orchestrator_ms,orchestrator_to_valve_ms,irrigation_total_ms,robot_command_to_cmd_vel_ms
1,3.331947,4.514471,7.846418,4.58774
2,0.838642,3.302501,4.141143,2.909651
3,1.817836,6.108462,7.926298,6.732555
4,0.882173,3.457173,4.339346,6.530055
5,3.440819,2.434967,5.875786,3.225458
6,0.781605,11.247694,12.029299,3.276491
7,0.82603,4.866439,5.692469,6.760752
8,0.88834,5.094952,5.983292,7.129853
9,3.041741,2.031486,5.073227,6.171677
10,1.034246,6.305317,7.339563,8.13227
11,0.908496,2.88675,3.795246,4.861339
12,0.715614,3.872572,4.588186,5.933315
13,0.900513,1.757521,2.658034,3.181037
14,3.575269,3.364779,6.940048,4.41342
15,0.929029,2.535522,3.464551,2.757155
16,2.969919,4.418101,7.38802,5.822822
17,2.106747,2.873759,4.980506,5.159966
18,3.676758,11.392617,15.069375,7.154356
19,5.925981,3.46913,9.395111,4.284742
20,3.401753,2.28879,5.690543,3.102504
21,1.133904,5.845878,6.979782,6.238881
22,4.249883,7.506558,11.756441,7.162242
23,2.502576,10.862703,13.365279,4.857566
24,0.943686,3.688104,4.63179,6.321631
25,1.261648,9.731279,10.992927,9.473983
26,2.736446,2.626425,5.362871,4.18589
27,1.469329,4.895944,6.365273,5.776555
28,3.501914,5.809956,9.31187,7.562673
29,2.773026,5.01959,7.792616,4.288183
30,8.520223,5.439603,13.959826,3.596206
31,6.870823,2.478259,9.349082,3.747218
32,0.711299,4.375919,5.087218,3.475058
33,2.101613,2.943124,5.044737,5.80372
34,2.565728,8.069912,10.63564,7.554043
35,3.262824,10.895826,14.15865,7.107863
36,5.281573,4.081969,9.363542,2.823614
37,0.981672,5.596936,6.578608,5.561618
38,1.780783,2.256684,4.037467,5.228488
39,1.149786,5.614083,6.763869,6.566834
40,2.210627,2.381514,4.592141,6.028505
41,0.793555,6.59895,7.392505,8.202046
42,0.92186,1.758406,2.680266,4.376301
43,0.765496,3.273197,4.038693,5.113591
44,0.996966,4.066714,5.06368,15.499516
45,1.553251,6.121726,7.674977,7.020089
46,0.801327,3.045997,3.847324,4.445164
47,1.649829,5.335909,6.985738,4.268224
48,1.992399,4.597089,6.589488,6.799055
49,3.86443,6.69779,10.56222,8.596409
50,1.953195,3.86329,5.816485,5.192022
51,0.791751,1.924254,2.716005,2.85762
52,1.393931,1.668294,3.062225,2.200772
53,1.25845,3.756961,5.015411,8.440797
54,1.292871,5.769429,7.0623,6.613123
55,1.012613,1.975063,2.987676,4.922684
56,0.814209,4.265374,5.079583,4.671536
57,0.571197,4.245329,4.816526,4.379751
58,1.296267,5.829728,7.125995,9.18636
59,5.333846,2.481457,7.815303,4.499476
60,2.152902,6.770754,8.923656,5.269608
61,3.386114,3.468498,6.854612,5.537384
62,1.250268,10.243409,11.493677,8.471229
63,6.829285,2.215872,9.045157,5.095537
64,2.781023,2.193235,4.974258,6.072851
65,0.771194,4.56455,5.335744,5.154728
66,0.711059,8.044915,8.755974,5.520406
67,0.965063,2.466703,3.431766,4.137007
68,2.744223,9.10219,11.846413,9.323005
69,1.493041,5.338615,6.831656,5.806183
70,2.452365,6.260053,8.712418,5.44028
71,4.033043,10.136649,14.169692,11.731683
72,1.314589,6.808022,8.122611,8.740402
73,1.056813,4.287581,5.344394,3.763527
74,0.773098,4.672635,5.445733,5.256097
75,4.619228,5.56798,10.187208,8.868969
76,1.778391,8.993971,10.772362,10.930562
77,2.650865,6.578791,9.229656,9.143855
78,0.736172,1.945065,2.681237,3.148013
79,2.137803,5.737722,7.875525,7.092315
80,0.824082,2.337222,3.161304,3.186319
81,0.880228,6.763254,7.643482,7.29606
82,0.891786,3.034394,3.92618,4.910028
83,1.001412,13.174008,14.17542,16.168484
84,1.358822,4.838173,6.196995,8.452741
85,5.045862,8.875438,13.9213,7.238839
86,2.674624,3.007656,5.68228,15.691282
87,2.477682,4.987226,7.464908,2.201401
88,0.917748,8.407584,9.325332,2.036921
89,0.924325,8.326572,9.250897,5.436716
90,2.673922,4.138598,6.81252,3.744413
91,4.506748,3.130943,7.637691,2.080496
92,4.395421,2.851079,7.2465,5.288032
93,2.533537,2.778229,5.311766,6.597362
94,3.333874,3.341933,6.675807,4.883077
95,1.724965,4.361719,6.086684,8.027578
96,0.756853,5.399289,6.156142,11.541409
97,0.818111,4.251476,5.069587,9.657168
98,5.541544,2.425784,7.967328,5.311934
99,4.728677,6.617391,11.346068,7.503897
100,0.809871,3.911803,4.721674,3.61349
101,4.941024,5.400507,10.341531,4.994175
102,5.855555,2.120946,7.976501,6.404786
103,2.746106,4.229704,6.97581,3.079555
104,1.353022,2.513938,3.86696,7.154716
105,3.153367,5.680288,8.833655,6.800842
106,1.945624,4.659808,6.605432,6.230257
107,2.55036,2.020907,4.571267,2.407321
108,2.368375,1.773619,4.141994,6.419516
109,1.324792,5.001559,6.326351,4.641536
110,0.754157,4.592032,5.346189,4.315198
111,0.645271,3.620845,4.266116,6.261227
112,0.666966,5.62012,6.287086,3.812774
113,1.054365,1.977124,3.031489,3.389727
114,3.154791,3.317208,6.471999,3.630139
115,2.067274,17.208871,19.276145,4.797817
116,6.770556,3.586337,10.356893,4.017975
117,6.11355,4.25435,10.3679,5.070937
118,2.316553,2.834053,5.150606,4.706898
