sample,sensor_to_orchestrator_ms,orchestrator_to_valve_ms,irrigation_total_ms,robot_command_to_cmd_vel_ms
1,3.347578,6.39928,9.746858,11.559137
2,2.195843,4.027734,6.223577,6.728111
3,11.838716,2.921376,14.760092,7.560312
4,3.755707,8.831963,12.58767,7.901382
5,5.96164,2.777783,8.739423,4.656117
6,1.592336,14.180039,15.772375,13.21798
7,1.270037,3.851214,5.121251,5.354133
8,4.95705,6.774365,11.731415,12.96943
9,6.317677,6.940597,13.258274,7.912823
10,3.454782,2.507777,5.962559,5.287411
11,1.084047,4.152432,5.236479,4.152497
12,8.636233,2.61757,11.253803,8.02898
13,2.858542,12.714278,15.57282,16.158635
14,2.550213,4.995337,7.54555,9.044871
15,2.105904,5.73783,7.843734,5.009139
16,4.578845,2.752018,7.330863,2.652394
17,0.801761,3.075741,3.877502,3.302414
18,0.726629,2.932923,3.659552,2.154604
19,0.643766,3.042816,3.686582,3.653201
20,2.361487,5.598018,7.959505,8.191481
21,0.846649,3.287715,4.134364,6.077247
22,3.506366,4.670474,8.17684,5.840429
23,0.764415,6.218373,6.982788,5.681843
24,0.751077,1.933784,2.684861,3.556863
25,2.351999,10.499466,12.851465,10.821172
26,2.149967,6.383224,8.533191,8.48674
27,2.473426,6.970267,9.443693,10.850971
28,0.80495,3.781673,4.586623,4.160407
29,3.391652,5.477942,8.869594,7.117481
30,1.89758,5.359361,7.256941,2.277967
31,8.446154,3.617017,12.063171,6.062298
32,3.897388,4.210348,8.107736,5.489087
33,2.533548,14.021293,16.554841,12.50963
34,2.993244,4.944376,7.93762,8.273226
35,1.218577,4.6123,5.830877,5.444939
36,1.250992,3.852146,5.103138,2.97431
37,1.652464,2.88003,4.532494,3.097718
38,3.873486,6.186299,10.059785,7.004863
39,1.072426,4.747118,5.819544,7.363828
40,10.669775,5.401114,16.070889,6.577103
41,2.21778,2.085105,4.302885,6.492264
42,1.791599,5.818864,7.610463,8.239983
43,2.619415,2.322756,4.942171,5.29197
44,1.797023,2.187829,3.984852,6.244525
45,11.388379,5.243134,16.631513,7.250643
46,6.984537,7.459518,14.444055,5.930644
47,0.917662,5.385523,6.303185,6.753463
48,0.940564,2.832907,3.773471,2.794376
49,0.950114,6.424978,7.375092,13.103341
50,0.872715,4.794098,5.666813,4.29584
51,0.910002,8.172463,9.082465,5.763752
52,4.892798,5.218808,10.111606,4.25841
53,1.537366,6.156192,7.693558,9.953015
54,1.938563,7.717609,9.656172,6.878404
55,5.521447,5.739017,11.260464,5.952371
56,10.44188,4.896649,15.338529,5.564072
57,1.033927,5.415584,6.449511,4.790225
58,5.384845,6.165963,11.550808,8.011008
59,2.126695,13.637128,15.763823,7.518382
60,2.91935,6.571643,9.490993,6.114498
61,2.319228,6.756956,9.076184,9.939021
62,4.126812,3.454583,7.581395,10.806692
63,1.95711,16.666742,18.623852,18.725215
64,4.831194,12.317394,17.148588,10.033098
65,1.94555,8.722642,10.668192,15.73143
66,1.006952,2.618268,3.62522,5.733499
67,2.756062,2.304837,5.060899,3.710581
68,23.148293,12.025062,35.173355,18.997446
69,4.210679,4.970515,9.181194,4.22474
70,2.252716,3.805524,6.05824,5.217609
71,0.771843,6.086765,6.858608,7.301015
72,0.913872,3.0634,3.977272,4.803383
73,6.642704,4.43574,11.078444,6.490228
74,0.896386,4.856417,5.752803,4.959203
75,1.01927,5.059492,6.078762,4.28278
76,0.910012,1.885375,2.795387,3.716342
77,1.078589,2.306205,3.384794,3.068219
78,1.618094,7.902144,9.520238,13.13317
79,1.873007,4.71925,6.592257,12.197058
80,0.958866,15.342624,16.30149,9.124123
81,5.850379,5.625714,11.476093,5.826212
82,2.622809,3.087089,5.709898,3.939309
83,2.694811,2.95719,5.652001,11.62796
84,1.790666,4.335492,6.126158,4.041306
85,4.304552,1.850588,6.15514,4.418437
86,5.941951,12.615156,18.557107,16.996301
87,0.877462,4.364639,5.242101,4.854444
88,1.255006,5.812731,7.067737,5.781854
89,1.53734,4.392832,5.930172,7.634932
90,5.770128,3.264593,9.034721,5.583573
91,1.678599,5.750704,7.429303,6.309083
92,6.541589,8.484021,15.02561,12.814436
93,3.042518,6.166878,9.209396,6.372698
94,1.152722,13.108611,14.261333,16.942681
95,1.990307,8.002889,9.993196,11.053276
96,1.009806,2.229475,3.239281,2.957076
97,1.378232,10.981122,12.359354,12.350519
98,4.922869,3.619998,8.542867,7.369625
99,0.8943,2.978753,3.873053,4.987458
100,1.285599,8.217203,9.502802,5.263557
101,1.184439,11.606317,12.790756,10.826393
102,3.817128,6.154934,9.972062,5.625864
103,0.738047,6.001359,6.739406,11.017937
104,2.387065,10.624841,13.011906,7.26314
105,3.60081,9.723682,13.324492,8.443842
106,2.037941,8.276004,10.313945,7.310607
107,4.037514,3.615658,7.653172,9.666372
108,3.967463,2.988195,6.955658,6.526534
109,2.840492,6.314036,9.154528,10.442207
110,1.078947,2.035307,3.114254,8.233976
111,3.735832,2.982641,6.718473,3.350386
112,0.943899,14.310705,15.254604,12.175833
113,6.905816,14.119717,21.025533,14.068554
114,8.952475,1.909368,10.861843,4.386184
115,1.730957,5.786168,7.517125,5.46395
116,2.913885,7.108575,10.02246,10.049644
117,0.991901,2.363886,3.355787,6.246489
118,2.814292,9.645959,12.460251,8.331234
119,0.839945,10.846243,11.686188,24.710441
120,2.629529,9.875661,12.50519,12.83107
121,2.608469,4.104204,6.712673,10.52479
122,0.902992,5.326924,6.229916,5.594601
123,1.133803,2.514462,3.648265,3.197498
124,1.337819,12.300992,13.638811,12.468653
125,5.763988,6.757313,12.521301,7.690064
126,6.576403,7.32029,13.896693,13.002119
127,2.156843,6.203999,8.360842,8.257688
128,1.746287,7.35237,9.098657,8.271639
129,1.102623,2.842709,3.945332,2.959893
130,1.028062,8.191337,9.219399,6.318434
131,4.477929,5.701448,10.179377,8.306843
132,2.182193,7.427151,9.609344,9.314841
133,6.148538,4.183409,10.331947,9.641125
134,4.933372,6.825067,11.758439,7.632344
135,5.351395,7.630312,12.981707,10.724879
136,3.941723,6.005129,9.946852,6.25772
137,4.926706,7.505068,12.431774,7.172779
138,3.285469,11.724195,15.009664,15.556254
139,0.938256,6.786647,7.724903,16.523259
140,11.002299,2.716288,13.718587,2.319149
141,3.249273,3.067714,6.316987,4.676873
142,0.872657,6.148172,7.020829,5.488981
143,4.610722,10.70924,15.319962,12.506762
144,0.794205,5.030315,5.82452,11.319844
145,0.99258,6.251949,7.244529,9.125657
146,0.841425,2.037473,2.878898,2.786535
147,2.077988,2.338852,4.41684,3.755819
148,2.063652,16.454007,18.517659,14.922819
149,4.12304,13.981161,18.104201,18.439237
150,1.497193,17.906076,19.403269,16.62596
151,1.0607,4.033918,5.094618,5.078051
152,4.107702,3.498702,7.606404,3.055279
153,6.270902,8.382126,14.653028,10.402392
154,7.397813,5.415959,12.813772,4.028669
155,2.05174,3.010358,5.062098,12.374101
156,21.46157,3.648422,25.109992,4.558309
157,1.625445,5.222342,6.847787,3.960164
158,6.705353,2.644775,9.350128,7.506987
159,1.101602,4.739597,5.841199,10.509794
160,1.060848,44.225199,45.286047,24.396726
161,4.849807,14.031181,18.880988,11.075789
162,1.118179,7.836434,8.954613,6.559456
163,4.176507,4.778148,8.954655,13.034168
164,9.616862,2.450784,12.067646,9.449042
165,1.879129,13.981332,15.860461,14.283278
166,6.294818,11.276008,17.570826,12.368871
167,1.666351,8.455193,10.121544,7.77343
168,2.284736,5.600023,7.884759,7.174784
169,1.083341,5.980844,7.064185,5.729939
170,1.565211,3.303435,4.868646,6.776549
171,3.235764,6.902439,10.138203,9.468048
172,5.814707,3.803493,9.6182,4.687235
