sample,sensor_to_orchestrator_ms,orchestrator_to_valve_ms,irrigation_total_ms,robot_command_to_cmd_vel_ms
1,4.66053,2.543396,7.203926,10.01777
2,6.741523,3.91471,10.656233,4.952971
3,0.810963,3.355701,4.166664,6.426128
4,2.316137,6.470267,8.786404,3.549492
5,0.918388,4.482985,5.401373,6.375186
6,1.418859,5.357396,6.776255,7.164566
7,2.002089,3.167166,5.169255,3.772817
8,1.935313,5.742365,7.677678,8.232549
9,0.930553,7.310725,8.241278,7.401397
10,4.69257,2.758084,7.450654,4.887305
11,4.233141,2.095032,6.328173,3.701929
12,0.816984,2.489271,3.306255,3.077462
13,2.778154,1.671487,4.449641,4.770453
14,1.275195,3.791785,5.06698,5.269726
15,3.898267,5.734803,9.63307,5.331108
16,4.035688,1.750727,5.786415,4.90199
17,2.372106,9.840495,12.212601,12.843
18,2.636879,5.560493,8.197372,10.211387
19,1.022358,6.986092,8.00845,10.129472
20,8.703881,6.730415,15.434296,6.389073
21,4.69923,2.124757,6.823987,2.928757
22,1.423399,7.519026,8.942425,9.728817
23,4.200159,3.831121,8.03128,4.821349
24,2.124626,6.059777,8.184403,4.852658
25,0.861378,4.560136,5.421514,5.650207
26,3.499827,5.959194,9.459021,5.2608
27,2.33212,3.519049,5.851169,5.644736
28,1.065296,11.129268,12.194564,14.252632
29,2.299215,8.212832,10.512047,8.173531
30,1.815283,4.319645,6.134928,5.391352
31,2.389169,6.3161,8.705269,5.458685
32,4.037353,1.93302,5.970373,9.243448
33,6.145175,4.892457,11.037632,5.902744
34,1.138155,7.859948,8.998103,11.263121
35,1.686811,6.335983,8.022794,6.496127
36,2.651157,4.135041,6.786198,4.354683
37,4.336965,11.772477,16.109442,13.368941
38,7.091616,4.684877,11.776493,7.203928
39,1.87087,3.409525,5.280395,6.379554
40,0.955762,3.225056,4.180818,10.630506
41,1.325366,4.615085,5.940451,8.080286
42,0.998941,3.682791,4.681732,4.279724
43,1.257344,10.065427,11.322771,11.538752
44,0.824285,6.289658,7.113943,3.599008
45,1.85769,11.621364,13.479054,11.927928
46,0.829433,9.766011,10.595444,6.6471
47,0.91904,3.773975,4.693015,10.226813
48,0.90134,6.135964,7.037304,8.385794
49,0.915596,12.206685,13.122281,8.08382
50,5.987182,34.196767,40.183949,38.219481
51,1.048263,14.16193,15.210193,13.69084
52,1.065172,3.04928,4.114452,4.711057
53,4.331875,6.104497,10.436372,6.941108
54,17.453414,19.410727,36.864141,21.614968
55,6.418151,9.491641,15.909792,11.065491
56,5.974598,5.730965,11.705563,8.553277
57,0.993475,9.719897,10.713372,12.468557
58,0.958153,3.130044,4.088197,4.915724
59,0.93581,6.042079,6.977889,7.205887
60,0.741322,2.880433,3.621755,6.171083
61,5.694582,16.744388,22.43897,13.289895
62,0.731382,3.234911,3.966293,3.942407
63,0.777682,3.210456,3.988138,3.982783
64,1.341979,7.537684,8.879663,6.040449
65,0.839734,7.538868,8.378602,4.753043
66,0.758883,3.492763,4.251646,5.861355
67,0.687064,2.343236,3.0303,8.220321
68,11.683904,3.607685,15.291589,9.633553
69,9.023619,6.252278,15.275897,8.821892
70,0.898159,4.185097,5.083256,4.490274
71,0.707502,3.352577,4.060079,9.307792
72,2.091886,5.892572,7.984458,4.990928
73,1.561904,9.758845,11.320749,6.083989
74,3.698636,5.71435,9.412986,7.487311
75,1.021788,8.138368,9.160156,17.645484
76,1.062245,5.910136,6.972381,12.445755
77,1.457667,10.041486,11.499153,9.472891
78,1.516712,7.031275,8.547987,12.008635
79,2.42184,6.331552,8.753392,7.17098
80,1.024835,5.567052,6.591887,7.521771
81,0.9011,5.115388,6.016488,6.819006
82,2.343625,3.896634,6.240259,2.889257
83,1.876878,3.027967,4.904845,3.297986
84,2.582413,13.345249,15.927662,16.12209
85,4.639154,3.340563,7.979717,12.281418
86,1.56806,3.612733,5.180793,5.456102
87,1.876981,3.521001,5.397982,5.98654
88,1.543185,1.89784,3.441025,5.177167
89,0.918393,3.219297,4.13769,10.212355
90,2.031142,6.371684,8.402826,9.338844
91,0.68766,3.559191,4.246851,4.189055
92,5.541432,9.377603,14.919035,9.059383
93,6.465036,7.302375,13.767411,11.584895
94,3.290322,3.194499,6.484821,6.177141
95,3.493144,10.991635,14.484779,5.286505
96,0.888678,7.751726,8.640404,10.783222
97,1.046638,8.295116,9.341754,10.999601
98,4.823441,6.294379,11.11782,11.930277
99,2.120422,4.816936,6.937358,5.04264
100,9.753986,11.241232,20.995218,11.393655
101,1.010858,7.589296,8.600154,9.700031
102,0.984059,19.078245,20.062304,4.914968
103,0.756446,5.533897,6.290343,5.191909
104,1.734713,14.859738,16.594451,17.474671
105,0.70609,6.290222,6.996312,6.02601
106,0.701243,7.613995,8.315238,5.097661
107,1.859929,11.734399,13.594328,8.441402
108,3.798081,6.092939,9.89102,5.880604
109,0.818013,14.145743,14.963756,15.765918
110,0.707609,5.740653,6.448262,6.922527
